Layer,Name,GEOID,PMH_2023,PMH_2023_moe
Census tract,Tract 319,17031031900,13.60,1.68
Census tract,Tract 321,17031032100,16.00,1.68
Census tract,Tract 401,17031040100,13.40,1.34
Census tract,Tract 402.01,17031040201,14.00,1.64
Census tract,Tract 402.02,17031040202,15.60,1.55
Census tract,Tract 403,17031040300,13.60,1.43
Census tract,Tract 404.01,17031040401,14.10,1.51
Census tract,Tract 404.02,17031040402,14.50,1.38
Census tract,Tract 406,17031040600,14.60,1.76
Census tract,Tract 407,17031040700,13.50,1.59
Census tract,Tract 408,17031040800,13.30,1.47
Census tract,Tract 409,17031040900,13.20,1.47
Census tract,Tract 501,17031050100,14.50,1.72
Census tract,Tract 502,17031050200,12.70,1.43
Census tract,Tract 503,17031050300,13.00,1.47
Census tract,Tract 505,17031050500,12.70,1.34
Census tract,Tract 506,17031050600,13.80,1.59
Census tract,Tract 507,17031050700,13.40,1.38
Census tract,Tract 508,17031050800,14.30,1.76
Census tract,Tract 509,17031050900,13.90,1.68
Census tract,Tract 510,17031051000,13.00,1.47
Census tract,Tract 511,17031051100,14.20,1.72
Census tract,Tract 512,17031051200,13.80,1.59
Census tract,Tract 513,17031051300,12.80,1.34
Census tract,Tract 514,17031051400,14.40,1.76
Census tract,Tract 601,17031060100,13.20,1.47
Census tract,Tract 602,17031060200,13.70,1.59
Census tract,Tract 603,17031060300,14.30,1.72
Census tract,Tract 604,17031060400,13.50,1.51
Census tract,Tract 605,17031060500,14.30,1.68
Census tract,Tract 608,17031060800,14.00,1.47
Census tract,Tract 609,17031060900,13.00,1.38
Census tract,Tract 610,17031061000,16.00,2.18
Census tract,Tract 611,17031061100,14.90,1.93
Census tract,Tract 612,17031061200,15.50,2.01
Census tract,Tract 615,17031061500,14.80,1.68
Census tract,Tract 618,17031061800,14.70,1.72
Census tract,Tract 619.01,17031061901,14.90,1.68
Census tract,Tract 619.02,17031061902,13.30,1.59
Census tract,Tract 620,17031062000,14.30,1.64
Census tract,Tract 621,17031062100,14.80,1.76
Census tract,Tract 622,17031062200,14.30,1.64
Census tract,Tract 623,17031062300,13.80,1.59
Census tract,Tract 624,17031062400,14.30,1.72
Census tract,Tract 625,17031062500,14.50,1.68
Census tract,Tract 626,17031062600,13.00,1.43
Census tract,Tract 627,17031062700,13.50,1.47
Census tract,Tract 628,17031062800,13.90,1.68
Census tract,Tract 629,17031062900,14.50,1.72
Census tract,Tract 630,17031063000,14.80,1.85
