Layer,Name,GEOID,SES_2023,SES_2023_moe
Census tract,Tract 5608,17031560800,25.70,2.60
Census tract,Tract 5609,17031560900,24.40,2.52
Census tract,Tract 5610,17031561000,25.20,2.60
Census tract,Tract 5611,17031561100,25.60,2.43
Census tract,Tract 5701,17031570100,30.30,3.11
Census tract,Tract 5702,17031570200,30.60,3.32
Census tract,Tract 5703,17031570300,31.00,3.19
Census tract,Tract 5704,17031570400,33.20,3.02
Census tract,Tract 5705,17031570500,31.80,3.11
Census tract,Tract 5801,17031580100,31.30,3.06
Census tract,Tract 5802,17031580200,32.20,2.98
Census tract,Tract 5803,17031580300,32.00,3.06
Census tract,Tract 5804,17031580400,31.10,3.11
Census tract,Tract 5805.01,17031580501,32.10,3.02
Census tract,Tract 5805.02,17031580502,31.90,3.19
Census tract,Tract 5806,17031580600,31.50,3.44
Census tract,Tract 5807,17031580700,33.70,3.02
Census tract,Tract 5808,17031580800,32.60,3.48
Census tract,Tract 5905,17031590500,26.90,2.64
Census tract,Tract 5906,17031590600,30.20,3.06
Census tract,Tract 5907,17031590700,31.20,3.15
Census tract,Tract 6004,17031600400,32.80,3.27
Census tract,Tract 6006,17031600600,30.80,3.02
Census tract,Tract 6007,17031600700,32.90,2.98
Census tract,Tract 6009,17031600900,30.60,2.77
Census tract,Tract 6103,17031610300,31.90,3.40
Census tract,Tract 6104,17031610400,31.70,3.44
